trace,full_seq_len,input_x_seq_len,true_y_seq_len,pred_y_seq_len,acc,recall,precision,f1,levenshtein,damerau_levenshtein,local_alignment,global_alignment,emph_start,longest_subsequence,longest_substring,overlap,entropy,input,true_encoded,pred_encoded,true_encoded_with_padding,pred_encoded_with_padding,true_decoded,pred_decoded
0,9,8,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-014 | 021-001-014-015 | 021-001-014-015-002 | 021-001-014-015-002-005 | 021-001-014-015-002-005-006 | 021-001-014-015-002-005-006-022,000,000,000,000,<P>,<P>
1,8,2,6,5,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.5,0.5,0.6,0.6666666666666666,0.7000000000000001,0.5,0.5,0.6,0.7514171092838129,021 | 021-001,014 -> 015 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 006,014 -> 015 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 006,APPROVED_by_ADMINISTRATION -> APPROVED_by_BUDGET_OWNER -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> Payment_Handled
2,8,3,5,5,0.6,0.6,1.0,0.7333333333333332,0.6,0.6,0.6,0.8,0.7333333333333334,0.6,0.6,0.6,0.8046247597694274,021 | 021-001 | 021-001-014,015 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 006,015 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 006,APPROVED_by_BUDGET_OWNER -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> Payment_Handled
3,7,6,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005 | 021-001-014-002-005-006,022,022,022,022,<E>,<E>
4,7,2,5,5,0.6,0.6,1.0,0.7333333333333332,0.6,0.6,0.6,0.8,0.7333333333333334,0.6,0.6,0.6,0.8046247597694274,021 | 021-001,014 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 006,014 -> 002 -> 005 -> 006 -> 022,002 -> 002 -> 005 -> 006 -> 006,APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> Payment_Handled
5,7,4,3,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6666666666666666,0.5555555555555555,0.33333333333333337,0.33333333333333337,0.33333333333333326,0.6618189176584932,021 | 021-001 | 021-001-014 | 021-001-014-002,005 -> 006 -> 022,002 -> 006 -> 006,005 -> 006 -> 022,002 -> 006 -> 006,Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> Payment_Handled
6,6,1,5,5,0.2,0.2,0.4,0.26666666666666666,0.4,0.4,0.4,0.6,0.7333333333333334,0.6,0.4,0.6,0.8046247597694274,021,001 -> 002 -> 005 -> 006 -> 022,002 -> 005 -> 002 -> 006 -> 006,001 -> 002 -> 005 -> 006 -> 022,002 -> 005 -> 002 -> 006 -> 006,SUBMITTED_by_EMPLOYEE -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> Payment_Handled
7,6,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,021 | 021-001 | 021-001-013 | 021-001-013-008 | 021-001-013-008-022,000,022,000,022,<P>,<E>
8,8,4,4,4,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,0.5,0.75,0.6666666666666666,0.5,0.25,0.5,0.7295739585136225,021 | 021-001 | 021-001-014 | 021-001-014-015,002 -> 005 -> 006 -> 022,002 -> 002 -> 006 -> 006,002 -> 005 -> 006 -> 022,002 -> 002 -> 006 -> 006,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> Payment_Handled
9,7,1,6,5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.33333333333333337,0.33333333333333337,0.4,0.5833333333333334,0.7000000000000001,0.5,0.33333333333333337,0.6,0.7514171092838129,021,001 -> 004 -> 002 -> 005 -> 006 -> 022,002 -> 005 -> 002 -> 006 -> 006,001 -> 004 -> 002 -> 005 -> 006 -> 022,002 -> 005 -> 002 -> 006 -> 006,SUBMITTED_by_EMPLOYEE -> APPROVED_by_PRE_APPROVER -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> FINAL_APPROVED_by_SUPERVISOR -> Payment_Handled -> Payment_Handled
