seq_len,acc,recall,precision,f1
13.0,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
11.0,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364
1.0,1.0,1.0,1.0,1.0
11.0,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
31.0,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.9354838709677419
39.0,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
11.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0
12.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
1.0,0.0,0.0,0.0,0.0
11.0,1.0,1.0,1.0,1.0
9.0,1.0,1.0,1.0,1.0
4.0,1.0,1.0,1.0,1.0
14.0,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857
3.0,1.0,1.0,1.0,1.0
4.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
12.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0
5.0,1.0,1.0,1.0,1.0
4.0,0.75,0.75,0.75,0.75
2.0,0.5,0.5,0.5,0.5
6.0,1.0,1.0,1.0,1.0
26.0,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
12.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
2.0,0.5,0.5,0.5,0.5
13.0,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693
2.0,0.5,0.5,0.5,0.5
9.0,1.0,1.0,1.0,1.0
5.0,0.8,0.8,0.8,0.8000000000000002
1.0,1.0,1.0,1.0,1.0
25.0,0.88,0.88,0.88,0.88
4.0,0.75,0.75,0.75,0.75
7.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
7.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
11.0,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
9.0,1.0,1.0,1.0,1.0
16.0,0.9375,0.9375,0.9375,0.9375
13.0,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
7.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
11.0,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
6.0,1.0,1.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0
5.0,1.0,1.0,1.0,1.0
14.0,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857
1.0,1.0,1.0,1.0,1.0
44.0,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636
12.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
12.0,1.0,1.0,1.0,1.0
10.0,0.9,0.9,0.9,0.9
6.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
5.0,1.0,1.0,1.0,1.0
2.0,0.5,0.5,0.5,0.5
11.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091
9.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0
4.0,0.75,0.75,0.75,0.75
16.0,0.75,0.75,0.75,0.75
6.0,1.0,1.0,1.0,1.0
11.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091
51.0,0.9215686274509803,0.9215686274509803,0.9215686274509803,0.9215686274509803
6.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
5.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0
21.0,1.0,1.0,1.0,1.0
6.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
14.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
1.0,0.0,0.0,0.0,0.0
5.0,1.0,1.0,1.0,1.0
4.0,1.0,1.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0
13.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231
5.0,0.8,0.8,0.8,0.8000000000000002
7.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
9.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
3.0,1.0,1.0,1.0,1.0
10.0,0.8,0.8,0.8,0.8000000000000002
2.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
9.0,1.0,1.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0
